file,target,C,max_iter,tol,class_weight,n_samples_used,n_rows_dropped,n_features,n_classes,train_acc,test_acc,classes,fit_sec,note
qp_modality_sae_layer1.parquet,quirk_expected,1.0,2000,0.0001,balanced,481,4359,32768,6,0.9166666666666666,0.865979381443299,ability|necessity|obligation|possibility|prediction|volition,15.616795539855957,
qp_modality_sae_layer1.parquet,palmer_quirk_pair,1.0,1000,0.001,none,478,4362,32768,8,0.8691099476439791,0.7916666666666666,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,4.173336744308472,
qp_modality_sae_layer1.parquet,palmer_quirk_pair,1.0,1000,0.001,balanced,478,4362,32768,8,0.9083769633507853,0.78125,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,4.690644264221191,
qp_modality_sae_layer1.parquet,palmer_quirk_pair,1.0,2000,0.0001,none,478,4362,32768,8,0.8664921465968587,0.8125,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,18.14594006538391,
qp_modality_sae_layer1.parquet,palmer_quirk_pair,1.0,2000,0.0001,balanced,478,4362,32768,8,0.9057591623036649,0.75,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,18.148854970932007,
qp_modality_sae_layer10.parquet,modal_verb,1.0,1000,0.001,none,4840,0,32765,10,0.9989669421487604,0.9989669421487604,can|could|may|might|must|ought to|shall|should|will|would,25.18897557258606,
qp_modality_sae_layer10.parquet,modal_verb,1.0,1000,0.001,balanced,4840,0,32765,10,0.9989669421487604,0.9989669421487604,can|could|may|might|must|ought to|shall|should|will|would,24.614087343215942,
qp_modality_sae_layer10.parquet,modal_verb,1.0,2000,0.0001,none,4840,0,32765,10,0.99974173553719,1.0,can|could|may|might|must|ought to|shall|should|will|would,156.38341903686523,
qp_modality_sae_layer10.parquet,modal_verb,1.0,2000,0.0001,balanced,4840,0,32765,10,0.99974173553719,1.0,can|could|may|might|must|ought to|shall|should|will|would,155.61038041114807,
qp_modality_sae_layer10.parquet,palmer_expected,1.0,1000,0.001,none,484,4356,32765,3,0.937984496124031,0.8865979381443299,deontic|dynamic|epistemic,1.980266809463501,
qp_modality_sae_layer10.parquet,palmer_expected,1.0,1000,0.001,balanced,484,4356,32765,3,0.9354005167958657,0.8969072164948454,deontic|dynamic|epistemic,1.8499960899353027,
qp_modality_sae_layer10.parquet,palmer_expected,1.0,2000,0.0001,none,484,4356,32765,3,0.9431524547803618,0.9072164948453608,deontic|dynamic|epistemic,7.725090503692627,
qp_modality_sae_layer10.parquet,palmer_expected,1.0,2000,0.0001,balanced,484,4356,32765,3,0.9405684754521964,0.9175257731958762,deontic|dynamic|epistemic,7.75899338722229,
qp_modality_sae_layer10.parquet,quirk_expected,1.0,1000,0.001,none,481,4359,32765,6,0.9505208333333334,0.8969072164948454,ability|necessity|obligation|possibility|prediction|volition,1.9601237773895264,
qp_modality_sae_layer10.parquet,quirk_expected,1.0,1000,0.001,balanced,481,4359,32765,6,0.9661458333333334,0.9278350515463918,ability|necessity|obligation|possibility|prediction|volition,1.8708202838897705,
qp_modality_sae_layer10.parquet,quirk_expected,1.0,2000,0.0001,none,481,4359,32765,6,0.9661458333333334,0.9072164948453608,ability|necessity|obligation|possibility|prediction|volition,11.705201148986816,
qp_modality_sae_layer10.parquet,quirk_expected,1.0,2000,0.0001,balanced,481,4359,32765,6,0.96875,0.9381443298969072,ability|necessity|obligation|possibility|prediction|volition,11.7428138256073,
qp_modality_sae_layer10.parquet,palmer_quirk_pair,1.0,1000,0.001,none,478,4362,32765,8,0.9450261780104712,0.875,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,2.433297634124756,
qp_modality_sae_layer10.parquet,palmer_quirk_pair,1.0,1000,0.001,balanced,478,4362,32765,8,0.9738219895287958,0.8958333333333334,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,2.251375675201416,
qp_modality_sae_layer10.parquet,palmer_quirk_pair,1.0,2000,0.0001,none,478,4362,32765,8,0.9476439790575916,0.8958333333333334,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,13.597304105758667,
qp_modality_sae_layer10.parquet,palmer_quirk_pair,1.0,2000,0.0001,balanced,478,4362,32765,8,0.9659685863874345,0.84375,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,13.77530837059021,
qp_modality_sae_layer11.parquet,modal_verb,1.0,1000,0.001,none,4840,0,32767,10,0.9992252066115702,0.9989669421487604,can|could|may|might|must|ought to|shall|should|will|would,26.984423875808716,
qp_modality_sae_layer11.parquet,modal_verb,1.0,1000,0.001,balanced,4840,0,32767,10,0.9992252066115702,0.9989669421487604,can|could|may|might|must|ought to|shall|should|will|would,26.720585584640503,
qp_modality_sae_layer11.parquet,modal_verb,1.0,2000,0.0001,none,4840,0,32767,10,0.9992252066115702,1.0,can|could|may|might|must|ought to|shall|should|will|would,149.0044548511505,
qp_modality_sae_layer11.parquet,modal_verb,1.0,2000,0.0001,balanced,4840,0,32767,10,0.9992252066115702,1.0,can|could|may|might|must|ought to|shall|should|will|would,148.1549928188324,
qp_modality_sae_layer11.parquet,palmer_expected,1.0,1000,0.001,none,484,4356,32767,3,0.9509043927648578,0.8865979381443299,deontic|dynamic|epistemic,1.579402208328247,
qp_modality_sae_layer11.parquet,palmer_expected,1.0,1000,0.001,balanced,484,4356,32767,3,0.9457364341085271,0.8865979381443299,deontic|dynamic|epistemic,1.5733373165130615,
qp_modality_sae_layer11.parquet,palmer_expected,1.0,2000,0.0001,none,484,4356,32767,3,0.9560723514211886,0.8865979381443299,deontic|dynamic|epistemic,7.418389081954956,
qp_modality_sae_layer11.parquet,palmer_expected,1.0,2000,0.0001,balanced,484,4356,32767,3,0.937984496124031,0.8762886597938144,deontic|dynamic|epistemic,7.4581334590911865,
qp_modality_sae_layer11.parquet,quirk_expected,1.0,1000,0.001,none,481,4359,32767,6,0.96875,0.9175257731958762,ability|necessity|obligation|possibility|prediction|volition,2.377863883972168,
qp_modality_sae_layer11.parquet,quirk_expected,1.0,1000,0.001,balanced,481,4359,32767,6,0.9765625,0.9278350515463918,ability|necessity|obligation|possibility|prediction|volition,2.4047043323516846,
qp_modality_sae_layer11.parquet,quirk_expected,1.0,2000,0.0001,none,481,4359,32767,6,0.9791666666666666,0.9278350515463918,ability|necessity|obligation|possibility|prediction|volition,11.29215693473816,
qp_modality_sae_layer11.parquet,quirk_expected,1.0,2000,0.0001,balanced,481,4359,32767,6,0.9765625,0.9484536082474226,ability|necessity|obligation|possibility|prediction|volition,11.234166860580444,
qp_modality_sae_layer11.parquet,palmer_quirk_pair,1.0,1000,0.001,none,478,4362,32767,8,0.9528795811518325,0.8958333333333334,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,2.8996691703796387,
qp_modality_sae_layer11.parquet,palmer_quirk_pair,1.0,1000,0.001,balanced,478,4362,32767,8,0.9790575916230366,0.84375,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,2.973536968231201,
qp_modality_sae_layer11.parquet,palmer_quirk_pair,1.0,2000,0.0001,none,478,4362,32767,8,0.9581151832460733,0.8958333333333334,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,14.237605333328247,
qp_modality_sae_layer11.parquet,palmer_quirk_pair,1.0,2000,0.0001,balanced,478,4362,32767,8,0.9764397905759162,0.875,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,14.372701644897461,
qp_modality_sae_layer12.parquet,modal_verb,1.0,1000,0.001,none,4840,0,32763,10,0.9992252066115702,1.0,can|could|may|might|must|ought to|shall|should|will|would,29.388568878173828,
qp_modality_sae_layer12.parquet,modal_verb,1.0,1000,0.001,balanced,4840,0,32763,10,0.9992252066115702,1.0,can|could|may|might|must|ought to|shall|should|will|would,29.62311601638794,
qp_modality_sae_layer12.parquet,modal_verb,1.0,2000,0.0001,none,4840,0,32763,10,0.99974173553719,0.9989669421487604,can|could|may|might|must|ought to|shall|should|will|would,149.78852248191833,
qp_modality_sae_layer12.parquet,modal_verb,1.0,2000,0.0001,balanced,4840,0,32763,10,0.99974173553719,0.9989669421487604,can|could|may|might|must|ought to|shall|should|will|would,149.73761105537415,
qp_modality_sae_layer12.parquet,palmer_expected,1.0,1000,0.001,none,484,4356,32763,3,0.9405684754521964,0.865979381443299,deontic|dynamic|epistemic,1.64747953414917,
qp_modality_sae_layer12.parquet,palmer_expected,1.0,1000,0.001,balanced,484,4356,32763,3,0.9457364341085271,0.865979381443299,deontic|dynamic|epistemic,1.7139661312103271,
qp_modality_sae_layer12.parquet,palmer_expected,1.0,2000,0.0001,none,484,4356,32763,3,0.9431524547803618,0.8556701030927835,deontic|dynamic|epistemic,7.447941064834595,
qp_modality_sae_layer12.parquet,palmer_expected,1.0,2000,0.0001,balanced,484,4356,32763,3,0.9405684754521964,0.865979381443299,deontic|dynamic|epistemic,7.483438491821289,
qp_modality_sae_layer12.parquet,quirk_expected,1.0,1000,0.001,none,481,4359,32763,6,0.96875,0.9072164948453608,ability|necessity|obligation|possibility|prediction|volition,2.587299108505249,
qp_modality_sae_layer12.parquet,quirk_expected,1.0,1000,0.001,balanced,481,4359,32763,6,0.9713541666666666,0.9072164948453608,ability|necessity|obligation|possibility|prediction|volition,2.515300750732422,
qp_modality_sae_layer12.parquet,quirk_expected,1.0,2000,0.0001,none,481,4359,32763,6,0.96875,0.8969072164948454,ability|necessity|obligation|possibility|prediction|volition,11.235336303710938,
qp_modality_sae_layer12.parquet,quirk_expected,1.0,2000,0.0001,balanced,481,4359,32763,6,0.9713541666666666,0.9072164948453608,ability|necessity|obligation|possibility|prediction|volition,11.494038105010986,
qp_modality_sae_layer12.parquet,palmer_quirk_pair,1.0,1000,0.001,none,478,4362,32763,8,0.93717277486911,0.8854166666666666,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,2.9004299640655518,
qp_modality_sae_layer12.parquet,palmer_quirk_pair,1.0,1000,0.001,balanced,478,4362,32763,8,0.9764397905759162,0.8645833333333334,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,2.9916112422943115,
qp_modality_sae_layer12.parquet,palmer_quirk_pair,1.0,2000,0.0001,none,478,4362,32763,8,0.9554973821989529,0.9166666666666666,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,13.089775085449219,
