file,target,C,max_iter,tol,class_weight,n_samples_used,n_rows_dropped,n_features,n_classes,train_acc,test_acc,nnz_features,fit_sec,note
qp_tense_sae_layer1.parquet,tense,0.5,3000,0.0001,none,1411,0,32759,7,0.9645390070921985,0.9646643109540636,13,8.846088409423828,
qp_tense_sae_layer1.parquet,tense,0.5,4000,0.0001,none,1411,0,32759,7,0.9645390070921985,0.9646643109540636,13,8.722833395004272,
qp_tense_sae_layer1.parquet,tense,0.5,5000,0.0001,none,1411,0,32759,7,0.9645390070921985,0.9646643109540636,13,8.806542158126831,
qp_tense_sae_layer1.parquet,tense,1.0,1000,0.0001,none,1411,0,32759,7,0.9778368794326241,0.9787985865724381,19,7.72371506690979,
qp_tense_sae_layer1.parquet,tense,1.0,2000,0.0001,none,1411,0,32759,7,0.9778368794326241,0.9787985865724381,18,15.443155527114868,
qp_tense_sae_layer1.parquet,tense,1.0,3000,0.0001,none,1411,0,32759,7,0.9778368794326241,0.9787985865724381,16,20.8946590423584,
qp_tense_sae_layer1.parquet,tense,1.0,4000,0.0001,none,1411,0,32759,7,0.9778368794326241,0.9787985865724381,16,20.725359201431274,
qp_tense_sae_layer1.parquet,tense,1.0,5000,0.0001,none,1411,0,32759,7,0.9778368794326241,0.9787985865724381,16,20.784297704696655,
qp_tense_sae_layer1.parquet,aspect,0.25,1000,0.0001,none,1411,0,32759,2,0.9654255319148937,0.9222614840989399,7,2.5627973079681396,
qp_tense_sae_layer1.parquet,aspect,0.25,2000,0.0001,none,1411,0,32759,2,0.9654255319148937,0.9222614840989399,6,2.925184488296509,
qp_tense_sae_layer1.parquet,aspect,0.25,3000,0.0001,none,1411,0,32759,2,0.9654255319148937,0.9222614840989399,6,2.9565269947052,
qp_tense_sae_layer1.parquet,aspect,0.25,4000,0.0001,none,1411,0,32759,2,0.9654255319148937,0.9222614840989399,6,2.9172136783599854,
qp_tense_sae_layer1.parquet,aspect,0.25,5000,0.0001,none,1411,0,32759,2,0.9654255319148937,0.9222614840989399,6,2.924992084503174,
qp_tense_sae_layer1.parquet,aspect,0.5,1000,0.0001,none,1411,0,32759,2,0.9778368794326241,0.9540636042402827,7,1.1555676460266113,
qp_tense_sae_layer1.parquet,aspect,0.5,2000,0.0001,none,1411,0,32759,2,0.9778368794326241,0.9540636042402827,7,1.159874677658081,
qp_tense_sae_layer1.parquet,aspect,0.5,3000,0.0001,none,1411,0,32759,2,0.9778368794326241,0.9540636042402827,7,1.102717638015747,
qp_tense_sae_layer1.parquet,aspect,0.5,4000,0.0001,none,1411,0,32759,2,0.9778368794326241,0.9540636042402827,7,1.158761739730835,
qp_tense_sae_layer1.parquet,aspect,0.5,5000,0.0001,none,1411,0,32759,2,0.9778368794326241,0.9540636042402827,7,1.150972604751587,
qp_tense_sae_layer1.parquet,aspect,1.0,1000,0.0001,none,1411,0,32759,2,0.9840425531914894,0.9681978798586572,14,1.9169645309448242,
qp_tense_sae_layer1.parquet,aspect,1.0,2000,0.0001,none,1411,0,32759,2,0.9840425531914894,0.9681978798586572,14,1.8978536128997803,
qp_tense_sae_layer1.parquet,aspect,1.0,3000,0.0001,none,1411,0,32759,2,0.9840425531914894,0.9681978798586572,14,1.9056878089904785,
qp_tense_sae_layer1.parquet,aspect,1.0,4000,0.0001,none,1411,0,32759,2,0.9840425531914894,0.9681978798586572,14,1.905625343322754,
qp_tense_sae_layer1.parquet,aspect,1.0,5000,0.0001,none,1411,0,32759,2,0.9840425531914894,0.9681978798586572,14,1.8990628719329834,
qp_tense_sae_layer10.parquet,tense,0.25,1000,0.0001,none,1411,0,32768,7,0.9884751773049646,0.9893992932862191,14,2.5553648471832275,
qp_tense_sae_layer10.parquet,tense,0.25,2000,0.0001,none,1411,0,32768,7,0.9884751773049646,0.9893992932862191,14,2.585113525390625,
qp_tense_sae_layer10.parquet,tense,0.25,3000,0.0001,none,1411,0,32768,7,0.9884751773049646,0.9893992932862191,14,2.518841028213501,
qp_tense_sae_layer10.parquet,tense,0.25,4000,0.0001,none,1411,0,32768,7,0.9884751773049646,0.9893992932862191,14,2.538257598876953,
qp_tense_sae_layer10.parquet,tense,0.25,5000,0.0001,none,1411,0,32768,7,0.9884751773049646,0.9893992932862191,14,2.546403646469116,
qp_tense_sae_layer10.parquet,tense,0.5,1000,0.0001,none,1411,0,32768,7,0.9911347517730497,0.9893992932862191,17,2.985417366027832,
qp_tense_sae_layer10.parquet,tense,0.5,2000,0.0001,none,1411,0,32768,7,0.9911347517730497,0.9893992932862191,17,2.894374370574951,
qp_tense_sae_layer10.parquet,tense,0.5,3000,0.0001,none,1411,0,32768,7,0.9911347517730497,0.9893992932862191,17,2.905308723449707,
qp_tense_sae_layer10.parquet,tense,0.5,4000,0.0001,none,1411,0,32768,7,0.9911347517730497,0.9893992932862191,17,2.9479057788848877,
qp_tense_sae_layer10.parquet,tense,0.5,5000,0.0001,none,1411,0,32768,7,0.9911347517730497,0.9893992932862191,17,2.9040756225585938,
qp_tense_sae_layer10.parquet,tense,1.0,1000,0.0001,none,1411,0,32768,7,0.999113475177305,0.9964664310954063,18,4.743041276931763,
qp_tense_sae_layer10.parquet,tense,1.0,2000,0.0001,none,1411,0,32768,7,0.999113475177305,0.9964664310954063,18,4.705162525177002,
qp_tense_sae_layer10.parquet,tense,1.0,3000,0.0001,none,1411,0,32768,7,0.999113475177305,0.9964664310954063,18,4.6971049308776855,
qp_tense_sae_layer10.parquet,tense,1.0,4000,0.0001,none,1411,0,32768,7,0.999113475177305,0.9964664310954063,18,4.695327997207642,
qp_tense_sae_layer10.parquet,tense,1.0,5000,0.0001,none,1411,0,32768,7,0.999113475177305,0.9964664310954063,18,4.648379564285278,
qp_tense_sae_layer10.parquet,aspect,0.25,1000,0.0001,none,1411,0,32768,2,0.9946808510638298,1.0,6,0.7590007781982422,
qp_tense_sae_layer10.parquet,aspect,0.25,2000,0.0001,none,1411,0,32768,2,0.9946808510638298,1.0,6,0.7563467025756836,
qp_tense_sae_layer10.parquet,aspect,0.25,3000,0.0001,none,1411,0,32768,2,0.9946808510638298,1.0,6,0.7726340293884277,
qp_tense_sae_layer10.parquet,aspect,0.25,4000,0.0001,none,1411,0,32768,2,0.9946808510638298,1.0,6,0.7801814079284668,
